iter	Passed	Remaining
814	17021	3863
815	17048	3844
816	17070	3823
817	17088	3802
818	17105	3780
819	17131	3760
820	17154	3740
821	17172	3718
822	17195	3698
823	17217	3677
824	17237	3656
825	17268	3637
826	17286	3616
827	17307	3595
828	17326	3573
829	17347	3553
830	17375	3533
831	17395	3512
832	17416	3491
833	17435	3470
834	17456	3449
835	17477	3428
836	17499	3407
837	17516	3386
838	17535	3365
839	17557	3344
840	17579	3323
841	17596	3302
842	17617	3281
843	17635	3259
844	17653	3238
845	17677	3217
846	17700	3197
847	17722	3176
848	17744	3155
849	17768	3135
850	17792	3115
851	17815	3094
852	17838	3074
853	17859	3053
854	17880	3032
855	17904	3011
856	17925	2991
857	17949	2970
858	17970	2949
859	17990	2928
860	18015	2908
861	18037	2887
862	18058	2866
863	18077	2845
864	18103	2825
865	18127	2804
866	18148	2783
867	18171	2763
868	18192	2742
869	18214	2721
870	18239	2701
871	18263	2680
872	18284	2660
873	18306	2639
874	18329	2618
875	18355	2598
876	18373	2576
877	18395	2556
878	18414	2534
879	18431	2513
880	18455	2492
881	18474	2471
882	18490	2450
883	18511	2429
884	18531	2408
885	18557	2387
886	18576	2366
887	18600	2345
888	18620	2325
889	18645	2304
890	18667	2283
891	18686	2262
892	18707	2241
893	18728	2220
894	18751	2199
895	18775	2179
896	18796	2158
897	18819	2137
898	18844	2117
899	18865	2096
900	18891	2075
901	18912	2054
902	18944	2035
903	18964	2013
904	18987	1993
905	19010	1972
906	19032	1951
907	19052	1930
908	19069	1909
909	19091	1888
910	19114	1867
911	19135	1846
912	19155	1825
913	19176	1804
914	19197	1783
915	19218	1762
916	19243	1741
917	19265	1720
918	19286	1699
919	19307	1678
920	19332	1658
921	19356	1637
922	19378	1616
923	19399	1595
924	19421	1574
925	19448	1554
926	19468	1533
927	19485	1511
928	19505	1490
929	19524	1469
930	19545	1448
931	19568	1427
932	19591	1406
933	19610	1385
934	19628	1364
935	19652	1343
936	19674	1322
937	19697	1301
938	19718	1280
939	19739	1259
940	19763	1239
941	19782	1218
942	19808	1197
943	19848	1177
944	19870	1156
945	19893	1135
946	19914	1114
947	19937	1093
948	19958	1072
949	19980	1051
950	20004	1030
951	20025	1009
952	20046	988
953	20063	967
954	20081	946
955	20102	925
956	20123	904
957	20141	883
958	20163	862
959	20185	841
960	20210	820
961	20231	799
962	20248	777
963	20265	756
964	20288	735
965	20313	714
966	20332	693
967	20352	672
968	20369	651
969	20387	630
970	20413	609
971	20433	588
972	20456	567
973	20478	546
974	20496	525
975	20517	504
976	20542	483
977	20564	462
978	20585	441
979	20603	420
980	20628	399
981	20649	378
982	20671	357
983	20691	336
984	20713	315
985	20740	294
986	20762	273
987	20780	252
988	20802	231
989	20823	210
990	20847	189
991	20874	168
992	20894	147
993	20914	126
994	20933	105
995	20957	84
996	20980	63
997	21002	42
998	21023	21
999	21047	0
